,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std
QntTreasury,2.0,2.31873608977775,1.0691615007595952,1.0,1.0329907434858516,0.24211307204945057,1.0,1.3303849325636457,0.7789629079639708,1.0,1.6181964891981182,0.9545176683099154,2.0,2.536719749751173,1.192249634462017,2.0,2.1365333543688045,1.0047618125082076,2.0,1.9279643270675766,1.2349449897360982,3.0,3.368995633187773,2.0324962342997446,2.0,1.9119878603945373,0.6602768653654756,2.0,2.2215384615384615,1.1778677918536413,2.0,2.43925421010425,1.138561298480586
AVGPercentPerDay,0.33500000834465027,0.34399692470151233,0.06070567525989942,0.3499999940395355,0.33946925583847287,0.07239925351849859,0.33000001311302185,0.3034272826699656,0.08689131635095411,0.3499999940395355,0.34801607323032624,0.06674567882688301,0.3122999966144562,0.3214857351640312,0.05502746985695955,0.34150001406669617,0.34981962320911547,0.07414535647251191,0.2913999855518341,0.2920239737491345,0.06665742818030618,0.3061000108718872,0.31901339108593424,0.06236947231588374,0.29159998893737793,0.30782670686732777,0.08294385616265704,0.3499999940395355,0.3608258454501629,0.07306711023319964,0.32499998807907104,0.3326246953831497,0.056369451235347326
MINPercentPerDay,0.2800000011920929,0.28281621284396824,0.0662937763611302,0.3499999940395355,0.33732269165888523,0.07208142526692267,0.30000001192092896,0.285248729921482,0.09389226451778243,0.33000001311302185,0.3232251872988253,0.07091174633139768,0.25,0.2556217133026365,0.05699226785961144,0.30000001192092896,0.2970491184079352,0.07253708588569957,0.20000000298023224,0.2533554255656573,0.0739821428803559,0.23000000417232513,0.2373653577892801,0.060420127136608985,0.25,0.23700050644474796,0.02196187028435037,0.33000001311302185,0.3151461542913547,0.07079919711253081,0.25,0.26849158231524484,0.06149782312602995
MAXPercentPerDay,0.38999998569488525,0.39813453995476344,0.16499937533624556,0.3499999940395355,0.34171113578723733,0.08675495797786503,0.3499999940395355,0.32709026042380807,0.12324057661946057,0.3499999940395355,0.37131175305517106,0.1325008955933369,0.36000001430511475,0.3864001849877848,0.14989154752590528,0.3799999952316284,0.396303375705045,0.1846924018055046,0.3499999940395355,0.3443289155980318,0.14636356536988734,0.38999998569488525,0.41473071389930566,0.21754950768166564,0.3499999940395355,0.3648628249696607,0.1861015118839371,0.3499999940395355,0.4041307674577603,0.2115020519745732,0.3700000047683716,0.39088372101390373,0.1536747101473937
QntPromo,0.0,0.6303564151593994,1.1859306207483369,0.0,0.20245742332905095,0.5869379242302233,0.0,1.9382964007342183,4.945583504353348,0.0,0.501316931321651,1.2613760897769095,0.0,0.8387956775202616,2.191872766462987,0.0,0.6625121611317083,1.1519533775328619,1.0,3.554802788795546,8.231639428843327,1.0,11.09825327510917,85.88803385603904,0.0,0.321446636317653,0.5556419736156335,1.0,1.1953846153846155,1.6868764625535266,0.0,0.7425020048115477,1.5047720431738167
PercentPromo,0.0,0.046849497750128005,0.08332740480040612,0.0,0.14872917398924143,0.34195242852270946,0.0,0.27023817403393985,0.3710135814716043,0.0,0.10914872217796756,0.1932202070647964,0.0,0.039078837755406264,0.080698249624519,0.0,0.08830039327235556,0.15345044997128135,0.04651162773370743,0.09287876789298004,0.11493187922715033,0.006803035968914628,0.01992100909895574,0.04240493950585403,0.0,0.09066186508387102,0.16997143974519424,0.1428571492433548,0.1797432227518696,0.21432581974839135,0.0,0.03329106363838123,0.05756634816122595
OverPayAmount,0.0,811.5389645417796,2375.309516871061,0.0,11.421012580223923,821.8302552990237,0.0,168.54407387800157,478.1122071415631,0.0,298.8152125743359,1028.7387922003393,2017.6499633789062,7628.8631478667885,24887.76482625669,0.0,432.705448782932,1343.5337169986622,1725.5,4881.17087723081,20456.008572380924,2484.280029296875,11801.741081887458,35405.01726596063,0.0,538.1870988417468,2399.474140192838,0.0,157.01829152033878,1202.1206963917898,1680.0,5364.601469571129,17344.51931302543
PercentAmount,0.0,89.81126967537631,505.1771458021623,0.0,2.4784713627678934,70.81025562337875,0.0,113.56231257912785,548.5698268466167,0.0,37.30088787894366,318.5320033116709,0.0,45.26484466862258,479.7004611416237,0.0,62.20819557305922,383.96552345956815,0.0,58.176515681390434,766.0779686830017,0.0,10.686033290546535,353.36418098569004,0.0,167.75327007295388,803.5253310523093,0.0,22.03918860435486,227.46328377572067,0.0,75.14859486404379,591.6333332276405
BadPercentPerDay,0.0,0.13465721984172457,0.17006669946247047,0.3499999940395355,0.3336734509437743,0.07963993536095149,0.0,0.03382591587197723,0.09550820303466048,0.25,0.18010885527790288,0.17943980398616496,0.0,0.10710116645002643,0.15224352855962928,0.0,0.12934027425606864,0.17262883109322516,0.0,0.07357148171684107,0.13083652100020834,0.0,0.06040029134465791,0.12320637400694653,0.0,0.10988872028325745,0.12409892889557585,0.3499999940395355,0.2807307676283213,0.1512544542498328,0.0,0.11865236803399341,0.16074162377034376
GoodPercentPerDay,0.3400000035762787,0.5535014554377555,0.6806645585084635,0.0,0.0030317554071132785,0.03425579422279751,0.33000001311302185,0.33519432887223677,0.20942680786471557,0.30000001192092896,0.3089007795242242,0.40857402271541143,0.36000001430511475,0.7376720455255199,0.8251074453029491,0.3499999940395355,0.4254650131045451,0.4798018247770638,1.0,1.1865618025403997,0.8669771326808565,0.5099999904632568,0.6480422115069984,0.49522529505211144,0.25,0.3075973697470244,0.42459855149201087,0.0,0.1399999996332022,0.3703210019980843,0.3700000047683716,0.729664802885261,0.8140255494592998
DayDiff,0.0,98.49916930503746,183.22389075957133,0.0,34.61117699377409,123.37289978174489,0.0,60.068141310420046,137.2089798258174,0.0,70.89123517500722,145.13318779685343,0.0,112.26173041376369,194.18252057930212,0.0,86.63732218453367,154.76001586302596,0.0,126.76686950309181,185.41251418393733,74.5,98.07423580786026,98.28969484936702,0.0,76.10116337885685,186.85691609355368,0.0,76.80615384615385,160.9061885128953,0.0,113.42586206896551,195.54261014666687
isGoodZB,1.0,1.6379110372715588,1.988324150543526,0.0,0.008251803537899002,0.09226735506289978,1.0,1.1614881221568993,0.7278140294383069,1.0,0.8939603854878736,1.1581395965360601,1.0,2.349281956490829,2.5898380004615307,1.0,1.2239488838053167,1.3639135778593998,4.0,4.3734818063117435,2.892480825663961,2.0,2.1331877729257642,1.6238899816965529,1.0,1.2301466868993425,1.6983918611350177,0.0,0.3953846153846154,1.0257546866611444,1.0,2.232197273456295,2.441326772477692
BudetSledVisit,0.0,0.40133538133600827,0.4901763201656787,0.0,0.1442500905886616,0.35134603336223974,0.0,0.35223856774227874,0.4776710102503799,0.0,0.3523133839806343,0.47769460703677497,0.0,0.4550689606142471,0.4979859605737924,0.0,0.43511871893981224,0.49577580705279534,1.0,0.5505653962701091,0.49744269706180366,1.0,0.7998544395924309,0.4002548085784593,0.0,0.23039959534648458,0.42114187368829487,0.0,0.33692307692307694,0.4728402480329767,0.0,0.44731355252606253,0.4972263583180325
labels,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,5.0,5.0,0.0,6.0,6.0,0.0,7.0,7.0,0.0,8.0,8.0,0.0,9.0,9.0,0.0,10.0,10.0,0.0
